[
Date: 2020-12-03T03:31:33Z , Country: Lithuania , NewConfirmed: 1190 , TotalConfirmed: 62515 , NewDeaths: 13 , 
Date: 2020-12-03T03:31:33Z , Country: Luxembourg , NewConfirmed: 451 , TotalConfirmed: 35129 , NewDeaths: 9 , 
Date: 2020-12-03T03:31:33Z , Country: Macao, SAR China , NewConfirmed: 0 , TotalConfirmed: 0 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Macedonia, Republic of , NewConfirmed: 1067 , TotalConfirmed: 62945 , NewDeaths: 29 , 
Date: 2020-12-03T03:31:33Z , Country: Madagascar , NewConfirmed: 0 , TotalConfirmed: 17341 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Malawi , NewConfirmed: 0 , TotalConfirmed: 6028 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Malaysia , NewConfirmed: 1472 , TotalConfirmed: 67169 , NewDeaths: 3 , 
Date: 2020-12-03T03:31:33Z , Country: Maldives , NewConfirmed: 38 , TotalConfirmed: 13049 , NewDeaths: 1 , 
Date: 2020-12-03T03:31:33Z , Country: Mali , NewConfirmed: 52 , TotalConfirmed: 4762 , NewDeaths: 4 , 
Date: 2020-12-03T03:31:33Z , Country: Malta , NewConfirmed: 102 , TotalConfirmed: 9975 , NewDeaths: 4 , 
Date: 2020-12-03T03:31:33Z , Country: Marshall Islands , NewConfirmed: 0 , TotalConfirmed: 4 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Mauritania , NewConfirmed: 109 , TotalConfirmed: 8710 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Mauritius , NewConfirmed: 1 , TotalConfirmed: 505 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Mexico , NewConfirmed: 8819 , TotalConfirmed: 1122362 , NewDeaths: 825 , 
Date: 2020-12-03T03:31:33Z , Country: Moldova , NewConfirmed: 1499 , TotalConfirmed: 108863 , NewDeaths: 19 , 
Date: 2020-12-03T03:31:33Z , Country: Monaco , NewConfirmed: 8 , TotalConfirmed: 617 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Mongolia , NewConfirmed: 11 , TotalConfirmed: 812 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Montenegro , NewConfirmed: 584 , TotalConfirmed: 35849 , NewDeaths: 5 , 
Date: 2020-12-03T03:31:33Z , Country: Morocco , NewConfirmed: 3508 , TotalConfirmed: 359844 , NewDeaths: 69 , 
Date: 2020-12-03T03:31:33Z , Country: Mozambique , NewConfirmed: 69 , TotalConfirmed: 15770 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Myanmar , NewConfirmed: 1476 , TotalConfirmed: 92189 , NewDeaths: 31 , 
Date: 2020-12-03T03:31:33Z , Country: Namibia , NewConfirmed: 36 , TotalConfirmed: 14416 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Nepal , NewConfirmed: 0 , TotalConfirmed: 233452 , NewDeaths: 21 , 
Date: 2020-12-03T03:31:33Z , Country: Netherlands , NewConfirmed: 4045 , TotalConfirmed: 527523 , NewDeaths: 62 , 
Date: 2020-12-03T03:31:33Z , Country: New Zealand , NewConfirmed: 1 , TotalConfirmed: 2060 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Nicaragua , NewConfirmed: 54 , TotalConfirmed: 5838 , NewDeaths: 1 , 
Date: 2020-12-03T03:31:33Z , Country: Niger , NewConfirmed: 38 , TotalConfirmed: 1586 , NewDeaths: 3 , 
Date: 2020-12-03T03:31:33Z , Country: Nigeria , NewConfirmed: 281 , TotalConfirmed: 67838 , NewDeaths: 3 , 
Date: 2020-12-03T03:31:33Z , Country: Norway , NewConfirmed: 441 , TotalConfirmed: 36591 , NewDeaths: 2 , 
Date: 2020-12-03T03:31:33Z , Country: Oman , NewConfirmed: 209 , TotalConfirmed: 123908 , NewDeaths: 7 , 
Date: 2020-12-03T03:31:33Z , Country: Pakistan , NewConfirmed: 2829 , TotalConfirmed: 403311 , NewDeaths: 75 , 
Date: 2020-12-03T03:31:33Z , Country: Palestinian Territory , NewConfirmed: 2357 , TotalConfirmed: 88004 , NewDeaths: 15 , 
Date: 2020-12-03T03:31:33Z , Country: Panama , NewConfirmed: 1505 , TotalConfirmed: 167311 , NewDeaths: 19 , 
Date: 2020-12-03T03:31:33Z , Country: Papua New Guinea , NewConfirmed: 13 , TotalConfirmed: 669 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Paraguay , NewConfirmed: 1055 , TotalConfirmed: 83479 , NewDeaths: 15 , 
Date: 2020-12-03T03:31:33Z , Country: Peru , NewConfirmed: 1075 , TotalConfirmed: 963605 , NewDeaths: 43 , 
Date: 2020-12-03T03:31:33Z , Country: Philippines , NewConfirmed: 1295 , TotalConfirmed: 432925 , NewDeaths: 26 , 
Date: 2020-12-03T03:31:33Z , Country: Poland , NewConfirmed: 9113 , TotalConfirmed: 999924 , NewDeaths: 449 , 
Date: 2020-12-03T03:31:33Z , Country: Portugal , NewConfirmed: 2401 , TotalConfirmed: 300462 , NewDeaths: 72 , 
Date: 2020-12-03T03:31:33Z , Country: Qatar , NewConfirmed: 168 , TotalConfirmed: 139001 , NewDeaths: 1 , 
Date: 2020-12-03T03:31:33Z , Country: Republic of Kosovo , NewConfirmed: 521 , TotalConfirmed: 40117 , NewDeaths: 10 , 
Date: 2020-12-03T03:31:33Z , Country: Romania , NewConfirmed: 4272 , TotalConfirmed: 479634 , NewDeaths: 199 , 
Date: 2020-12-03T03:31:33Z , Country: Russian Federation , NewConfirmed: 26126 , TotalConfirmed: 2302062 , NewDeaths: 559 , 
Date: 2020-12-03T03:31:33Z , Country: Rwanda , NewConfirmed: 14 , TotalConfirmed: 5948 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Réunion , NewConfirmed: 0 , TotalConfirmed: 0 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Saint Kitts and Nevis , NewConfirmed: 0 , TotalConfirmed: 22 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Saint Lucia , NewConfirmed: 0 , TotalConfirmed: 259 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Saint Vincent and Grenadines , NewConfirmed: 0 , TotalConfirmed: 85 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: San Marino , NewConfirmed: 38 , TotalConfirmed: 1650 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Sao Tome and Principe , NewConfirmed: 5 , TotalConfirmed: 996 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Saudi Arabia , NewConfirmed: 263 , TotalConfirmed: 357623 , NewDeaths: 11 , 
Date: 2020-12-03T03:31:33Z , Country: Senegal , NewConfirmed: 18 , TotalConfirmed: 16107 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Serbia , NewConfirmed: 7999 , TotalConfirmed: 183437 , NewDeaths: 48 , 
Date: 2020-12-03T03:31:33Z , Country: Seychelles , NewConfirmed: 0 , TotalConfirmed: 183 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Sierra Leone , NewConfirmed: 1 , TotalConfirmed: 2413 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Singapore , NewConfirmed: 10 , TotalConfirmed: 58228 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Slovakia , NewConfirmed: 1254 , TotalConfirmed: 107183 , NewDeaths: 29 , 
Date: 2020-12-03T03:31:33Z , Country: Slovenia , NewConfirmed: 1321 , TotalConfirmed: 77135 , NewDeaths: 55 , 
Date: 2020-12-03T03:31:33Z , Country: Solomon Islands , NewConfirmed: 0 , TotalConfirmed: 17 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Somalia , NewConfirmed: 0 , TotalConfirmed: 4451 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: South Africa , NewConfirmed: 2295 , TotalConfirmed: 792299 , NewDeaths: 109 , 
Date: 2020-12-03T03:31:33Z , Country: South Sudan , NewConfirmed: 2 , TotalConfirmed: 3111 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Spain , NewConfirmed: 8257 , TotalConfirmed: 1656444 , NewDeaths: 442 , 
Date: 2020-12-03T03:31:33Z , Country: Sri Lanka , NewConfirmed: 545 , TotalConfirmed: 24532 , NewDeaths: 4 , 
Date: 2020-12-03T03:31:33Z , Country: Sudan , NewConfirmed: 235 , TotalConfirmed: 18045 , NewDeaths: 6 , 
Date: 2020-12-03T03:31:33Z , Country: Suriname , NewConfirmed: 7 , TotalConfirmed: 5319 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Swaziland , NewConfirmed: 23 , TotalConfirmed: 6442 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Sweden , NewConfirmed: 17629 , TotalConfirmed: 260758 , NewDeaths: 117 , 
Date: 2020-12-03T03:31:33Z , Country: Switzerland , NewConfirmed: 3802 , TotalConfirmed: 330874 , NewDeaths: 125 , 
Date: 2020-12-03T03:31:33Z , Country: Syrian Arab Republic (Syria) , NewConfirmed: 86 , TotalConfirmed: 7973 , NewDeaths: 5 , 
Date: 2020-12-03T03:31:33Z , Country: Taiwan, Republic of China , NewConfirmed: 4 , TotalConfirmed: 679 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Tajikistan , NewConfirmed: 37 , TotalConfirmed: 12231 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Tanzania, United Republic of , NewConfirmed: 0 , TotalConfirmed: 509 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Thailand , NewConfirmed: 18 , TotalConfirmed: 4026 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Timor-Leste , NewConfirmed: 0 , TotalConfirmed: 30 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Togo , NewConfirmed: 23 , TotalConfirmed: 2997 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Trinidad and Tobago , NewConfirmed: 16 , TotalConfirmed: 6685 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Tunisia , NewConfirmed: 0 , TotalConfirmed: 96769 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Turkey , NewConfirmed: 30110 , TotalConfirmed: 668957 , NewDeaths: 190 , 
Date: 2020-12-03T03:31:33Z , Country: Uganda , NewConfirmed: 576 , TotalConfirmed: 21035 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Ukraine , NewConfirmed: 12774 , TotalConfirmed: 765117 , NewDeaths: 231 , 
Date: 2020-12-03T03:31:33Z , Country: United Arab Emirates , NewConfirmed: 1289 , TotalConfirmed: 170149 , NewDeaths: 4 , 
Date: 2020-12-03T03:31:33Z , Country: United Kingdom , NewConfirmed: 13497 , TotalConfirmed: 1647230 , NewDeaths: 603 , 
Date: 2020-12-03T03:31:33Z , Country: United States of America , NewConfirmed: 180083 , TotalConfirmed: 13721304 , NewDeaths: 2597 , 
Date: 2020-12-03T03:31:33Z , Country: Uruguay , NewConfirmed: 167 , TotalConfirmed: 6024 , NewDeaths: 1 , 
Date: 2020-12-03T03:31:33Z , Country: Uzbekistan , NewConfirmed: 182 , TotalConfirmed: 73276 , NewDeaths: 1 , 
Date: 2020-12-03T03:31:33Z , Country: Vanuatu , NewConfirmed: 0 , TotalConfirmed: 1 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Venezuela (Bolivarian Republic) , NewConfirmed: 227 , TotalConfirmed: 102621 , NewDeaths: 4 , 
Date: 2020-12-03T03:31:33Z , Country: Viet Nam , NewConfirmed: 4 , TotalConfirmed: 1351 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Western Sahara , NewConfirmed: 0 , TotalConfirmed: 10 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Yemen , NewConfirmed: 6 , TotalConfirmed: 2197 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Zambia , NewConfirmed: 18 , TotalConfirmed: 17665 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Zimbabwe , NewConfirmed: 179 , TotalConfirmed: 10129 , NewDeaths: 1 ]
